condition,method,mean_final_val_loss,mean_paired_diff_vs_adamw,wins_vs_adamw,trials,selected_adamw_lr
1,plain_compact,0.00020194272,1.06e-06,0,6,0.003
1,diagonal_response_8a,0.000200920463,3.79e-08,0,6,0.003
1,full_core_response_8a,0.000200941047,5.85e-08,0,6,0.003
1,factor_adamw,0.000200882522,0.0,0,6,0.003
100,plain_compact,0.00020133553,2.68e-07,0,6,0.001
100,diagonal_response_8a,0.000201208128,1.41e-07,0,6,0.001
100,full_core_response_8a,0.000201207145,1.4e-07,0,6,0.001
100,factor_adamw,0.000201067509,0.0,0,6,0.001
10000,plain_compact,0.00020116059,3.07e-07,0,6,0.001
10000,diagonal_response_8a,0.000200988368,1.34e-07,0,6,0.001
10000,full_core_response_8a,0.000200988442,1.35e-07,0,6,0.001
10000,factor_adamw,0.000200853935,0.0,0,6,0.001
